weather_id,date_time,city,season,temperature_c,humidity,rain_mm,wind_speed_kmh,visibility_m,weather_condition,air_pressure_hpa
1.0,2099-13-40 25:61,London,Autumn,45.313069216818825,134.0,21.036696013874373,55.21754288483454,4463.0,Rain,985.4723824053646
2.0,2099-13-40 25:61,,Summer,10.885474383393888,68.0,21.329619555626508,26.97664631067117,2320.0,Rain,1025.2280377044808
3.0,2099-13-40 25:61,,,-29.028857581995954,74.0,16.679953888984752,43.66183556466802,8093.0,Storm,950.1827794479668
4.0,2024-01-01T03:00Z,London,Winter,25.904206786406448,97.0,23.53453616799681,36.395418081021035,4354.0,,988.8150579313077
5.0,01/01/2024 04AM,,Summer,15.360175387419511,91.0,146.85001933389518,24.270451930402686,4666.0,Rain,951.177325652007
6.0,,London,Spring,32.773258872304886,58.0,19.310182995399387,28.15404143913721,7576.0,Snow,1045.4395299178464
7.0,Unknown,London,Autumn,26.514045071812134,27.0,70.30729944312174,2.84416153205302,9433.0,Snow,967.1815458746971
8.0,2024-01-01T07:00Z,,Spring,17.661852337968625,59.0,9.826940984851175,78.79356096056705,1508.0,Clear,1033.5593981154113
9.0,2024-01-01 08:00,,Winter,12.073336813148734,50.0,26.247983827150698,62.38899356438138,2597.0,Snow,956.0315028686769
10.0,2024-01-01T09:00Z,London,Winter,8.638003017996846,18.0,110.95099280955392,45.05554320206376,6285.0,Fog,963.5638890355584
11.0,2024-01-01 10:00,,Winter,9.43021336624416,92.0,24.42574837223307,68.34573065940612,7919.0,Clear,960.1218602453667
12.0,01/01/2024 11AM,London,,22.68509511956472,26.0,20.476537256176158,6.12699017626416,4301.0,Storm,976.1845801788126
13.0,2024-01-01 12:00,,Spring,59.419434041395405,30.0,5.303242727115736,33.04329922787136,,Storm,1012.2610061985223
14.0,2024-01-01 13:00,,Autumn,22.742313358023548,98.0,20.08827958345516,71.94431116284386,6463.0,Storm,1038.0669286252491
15.0,01/01/2024 02PM,London,Autumn,10.180160170041713,,104.64733989881478,78.49547916721244,9372.0,Storm,1001.7846776530838
16.0,2099-13-40 25:61,,Summer,2.6996268642660226,,8.715776949239375,21.89481829533981,7922.0,Clear,993.0785673788743
17.0,01/01/2024 04PM,London,Spring,18.340008641977683,51.0,20.32221070866373,214.0790161695774,6425.0,Snow,986.481575307595
18.0,Unknown,London,,25.16527842178793,64.0,29.396318784944622,30.419015554587574,21036.0,Storm,965.6782680441696
19.0,2024-01-01T18:00Z,London,Spring,22.665934881573587,79.0,16.89872733043202,36.38643220285354,9393.0,,952.0108987226528
,Unknown,London,Spring,30.457059059632925,54.0,12.728065073877836,242.6847664058752,9514.0,Snow,1005.6425088229529
21.0,2024-01-01T20:00Z,,Summer,-1.2953871826544407,75.0,16.57536355926698,76.9748414340838,8724.0,Clear,998.8071144964805
22.0,Unknown,London,Winter,20.954645322869233,91.0,8.8307800872839,58.29595420864068,2011.0,Storm,991.8660140924837
23.0,01/01/2024 10PM,,,14.404503352878429,26.0,6.322312577120846,14.745963242434543,1215.0,,1036.1486576308475
24.0,01/01/2024 11PM,,Summer,58.98207720171429,47.0,15.28596838767659,44.44973585882142,4429.0,Rain,954.4663888587768
25.0,2099-13-40 25:61,London,Autumn,16.554258600058777,28.0,18.981004273341934,31.141293757360238,3920.0,Fog,1027.4216015974214
26.0,2099-13-40 25:61,,Winter,23.326474095340163,72.0,24.650580344647825,12.340447260103078,7093.0,Snow,
27.0,2024-01-02T02:00Z,London,Winter,26.101212031140765,76.0,19.25819775700053,50.32575268524201,1607.0,Storm,1011.6074049864479
28.0,2024-01-02T03:00Z,,Autumn,14.08558060958085,84.0,1.5360956782799229,41.02436552359583,3371.0,Storm,981.0025759760266
29.0,2099-13-40 25:61,London,Winter,25.6566496842295,47.0,27.020882098735708,75.20385877760364,3914.0,,960.1373796018727
30.0,2099-13-40 25:61,,,32.1066072902034,86.0,23.603529302096,161.80817995617036,4659.0,Snow,
31.0,Unknown,London,Winter,-0.11591046738819344,83.0,11.390860019537023,35.470366282022155,7606.0,Rain,1024.6639721259949
32.0,Unknown,London,Summer,8.225468836623637,47.0,16.498701116568398,65.7842968779272,582.0,Fog,1031.9869820625615
